LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL,UPRN,UPRN_SOURCE
2652231962019101013570558900070,SWINHOE,Anglia Ruskin University,East Road,CB1 1PT,750439830010,87.0,105.0,103.0,D,107.0,128.0,84.0,General Accommodation,2019-10-10,E07000008,E14000617,Cambridgeshire County,2019-10-10,General Accommodation,Natural Gas,,,,2964,222,300,66,60,22,26.6,152.0,143.0,139.0,134.0,86.0,81.0,No,,,4.0,Heating and Natural Ventilation,S8;,"SWINHOE, Anglia Ruskin University, East Road",Cambridge,Cambridge,CAMBRIDGE,2019-10-31,2019-08-01,2019-10-10 13:57:05,Standard Occupancy,200004211405,Address Matched
118087090602019032507452727010070,THE DAVID ATTENBOROUGH BUILDING,University of Cambridge,Pembroke Street,CB2 3QZ,360039020001,177.0,164.0,,G,1631.0,490.0,4.0,University Campus,2019-03-03,E07000008,E14000617,Cambridgeshire County,2019-03-25,University Campus,Natural Gas,,,,13106,193,245,226,80,0,0.3,1526.0,,423.0,,5.0,,Yes,,2.0,4.0,Heating and Natural Ventilation,S4;,"THE DAVID ATTENBOROUGH BUILDING, University of Cambridge, Pembroke Street",Cambridge,Cambridge,CAMBRIDGE,2019-03-31,2018-12-31,2019-03-25 07:45:27,Standard Occupancy,,
83698550062020091512593526980070,,Hauser Forum,1 Charles Babbage Road,CB3 0GT,728259630000,83.0,83.0,82.0,D,176.0,68.0,0.0,University Campus,2020-08-10,E07000008,E14000617,Cambridgeshire County,2020-09-15,University Campus,Natural Gas,,,,3214,109,246,100,80,0,0.0,190.0,185.0,56.0,54.0,0.0,0.0,Yes,,2.0,5.0,Heating and Natural Ventilation,S4;,"Hauser Forum, 1 Charles Babbage Road",Cambridge,Cambridge,CAMBRIDGE,2020-03-31,2019-12-31,2020-09-15 12:59:35,Standard Occupancy,,
2652231922008100812330658700070,SWINHOE,Anglia Ruskin University,East Road,CB1 1PT,750439830010,82.0,,,D,109.0,116.0,,General accommodation,2008-10-30,E07000008,E14000617,Cambridgeshire County,2008-10-08,General accommodation,Natural Gas,,Not applicable,Not applicable,2975,201,60,67,307,0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S8; S8; S8; S8;,"SWINHOE, Anglia Ruskin University, East Road",Cambridge,Cambridge,CAMBRIDGE,,2008-07-31,2008-10-08 12:33:06,,200004211405,Address Matched
83698550022016042911435526710070,,Hauser Forum,1 Charles Babbage Road,CB3 0GT,728259630000,86.0,91.0,,D,196.0,57.0,0.0,University Campus,2015-09-30,E07000008,E14000617,Cambridgeshire County,2016-04-29,University Campus,Natural Gas,,,,3214,91,243,111,80,0,0.0,207.0,,51.0,,0.0,,Yes,,2.0,5.0,Heating and Natural Ventilation,S4;,"Hauser Forum, 1 Charles Babbage Road",Cambridge,Cambridge,CAMBRIDGE,2016-03-31,2015-12-31,2016-04-29 11:43:55,Standard Occupancy,,
10695510022015110315591814210170,,Institute of Astronomy,"University of Cambridge, Madingley Road",CB3 0HA,718210490000,162.0,,,G,281.0,35.0,0.0,University Campus,2015-09-29,E07000008,E14000617,Cambridgeshire County,2015-11-03,University Campus,Natural Gas,,,,2202,82,229,232,80,0,0.0,,,,,,,No,,,4.0,Heating and Natural Ventilation,S4;,"Institute of Astronomy, University of Cambridge, Madingley Road",Cambridge,Cambridge,CAMBRIDGE,2015-03-31,2014-12-31,2015-11-03 15:59:18,Standard Occupancy,200004212301,Address Matched
83665710062017072013142517250210,,University of Cambridge,"Alison Richard Building, 7 West Road",CB3 9DP,115312760000,87.0,88.0,93.0,D,279.0,64.0,0.0,University Campus,2017-05-22,E07000008,E14000617,Cambridgeshire County,2017-07-20,University Campus,Natural Gas,,,,4291,77,249,118,80,0,0.0,273.0,291.0,69.0,60.0,0.0,0.0,Yes,,2.0,5.0,Heating and Natural Ventilation,S4;,"University of Cambridge, Alison Richard Building, 7 West Road",Cambridge,Cambridge,CAMBRIDGE,2017-03-31,2016-12-31,2017-07-20 13:14:25,Standard Occupancy,10090627364,Address Matched
484780962010110814355137090210,,Cambridge Crown Court,The Court House,CB1 1BT,130282790000,73.0,77.0,75.0,C,203.0,50.0,0.0,General Office; Restaurant,2010-11-02,E07000008,E14000617,Cambridgeshire County,2010-11-08,General Office,Natural Gas,,,,4031,64,143,92,105,0,0.0,201.0,198.0,56.0,51.0,0.0,0.0,Yes,311.0,,1.0,Heating and Mechanical Ventilation,C1; H1;,"Cambridge Crown Court, The Court House",Cambridge,Cambridge,CAMBRIDGE,2010-09-30,2010-06-30,2010-11-08 14:35:51,Standard Occupancy,,
75916070842014070114184009510030,"ASHBURTON, FIRWOOD, HEADMASTERS HOUSE, KEYNES & LEYSPRING",St. Faiths School,Trumpington Road,CB2 8AG,383527500001,95.0,108.0,,D,178.0,55.0,17.0,Long Term Residential; Schools And Seasonal Public Buildings,2014-07-01,E07000008,E14000617,Cambridgeshire County,2014-07-01,Schools And Seasonal Public Buildings,Natural Gas,,,,4031,71,192,80,43,0,8.8,176.0,,86.0,,6.0,,No,,,4.0,Heating and Natural Ventilation,S7; S3;,"ASHBURTON, FIRWOOD, HEADMASTERS HOUSE, KEYNES & LEYSPRING, St. Faiths School, Trumpington Road",Cambridge,Cambridge,CAMBRIDGE,2014-03-01,2014-02-07,2014-07-01 14:18:40,Standard Occupancy,,
9297410042019032507225837400070,,University of Cambridge,Downing Street,CB2 3DZ,104531430000,44.0,43.0,55.0,B,92.0,81.0,0.0,University Campus,2019-03-03,E07000008,E14000617,Cambridgeshire County,2019-03-25,University Campus,Natural Gas,,,,4268,98,245,39,80,0,0.0,110.0,114.0,58.0,101.0,0.0,0.0,Yes,,2.0,5.0,Heating and Natural Ventilation,S4;,"University of Cambridge, Downing Street",Cambridge,Cambridge,CAMBRIDGE,2019-03-31,2018-12-31,2019-03-25 07:22:58,Standard Occupancy,,
