PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
LONG,2652231922008100812330658700070,1,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,HIGH
LONG,2652231922008100812330658700070,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan",HIGH
LONG,2652231922008100812330658700070,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",HIGH
MEDIUM,2652231922008100812330658700070,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce overheating.,HIGH
MEDIUM,2652231922008100812330658700070,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,HIGH
SHORT,2652231922008100812330658700070,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",HIGH
SHORT,2652231922008100812330658700070,2,HS10,Engage experts to survey the condition of the heating systems and propose remedial works.,HIGH
SHORT,2652231922008100812330658700070,3,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting,HIGH
SHORT,2652231922008100812330658700070,4,HW20,Consider fitting 24hour/7day time controls onto electric HWS cylinders,HIGH
SHORT,2652231922008100812330658700070,5,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",HIGH
SHORT,2652231922008100812330658700070,6,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,HIGH
SHORT,2652231922008100812330658700070,7,X16,Consider a programme of fitting energy meters to lifts an escalators as part of the serving and maintenance regime.,MEDIUM
SHORT,2652231922008100812330658700070,8,LE1,"Consider engaging experts to review current lift and escalator provisions and propose upgrades, replacements or alternative solutions that improve service effectiveness and energy efficiency.",MEDIUM
LONG,10695510022015110315591814210170,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,10695510022015110315591814210170,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,10695510022015110315591814210170,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,10695510022015110315591814210170,4,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,10695510022015110315591814210170,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,10695510022015110315591814210170,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,10695510022015110315591814210170,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,10695510022015110315591814210170,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
