LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL,UPRN,UPRN_SOURCE
2173900042008102020400979009200,,Kings Hedges Primary School,Northfields Avenue,CB4 2HU,806300070000,109.0,,,E,53.0,65.0,,Schools and seasonal public buildings,2008-10-21,E07000008,E14000617,Cambridgeshire County,2008-10-20,Schools and seasonal public buildings,Natural Gas,,NOne,,2083,161.0,156.0,46.0,40.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"Kings Hedges Primary School, Northfields Avenue",Cambridge,Cambridge,CAMBRIDGE,,2008-08-31,2008-10-20 20:40:09,,200004214182.0,Address Matched
2402580702008110712541069309000,,Spinney Primary School,Hayster Drive,CB1 9PB,673198360000,121.0,,,E,39.0,31.0,,Schools and seasonal public buildings,2008-10-01,E07000008,E14000617,Cambridgeshire County,2008-11-07,Schools and seasonal public buildings,Natural Gas,,Not applicable,Not applicable,1105,146.0,156.0,64.0,40.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"Spinney Primary School, Hayster Drive",Cambridge,Cambridge,CAMBRIDGE,,2008-08-27,2008-11-07 12:54:10,,200004213675.0,Address Matched
6081058012008120518371703900489,,Castle School,Courtney Way,CB4 2EE,495883880000,424.0,,,G,154.0,192.0,,Information not provided,2008-12-05,E07000008,E14000617,Cambridgeshire County,2008-12-05,Schools and seasonal public buildings,Natural Gas,,,,1562,633.0,156.0,179.0,40.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"Castle School, Courtney Way",Cambridge,Cambridge,CAMBRIDGE,,2008-09-30,2008-12-05 18:37:17,,10002562871.0,Address Matched
8063518032009010313030102900303,,St. Pauls C of E School,Coronation Street,CB2 1HJ,136235320000,166.0,,,G,47.0,55.0,,Schools and seasonal public buildings,2008-11-30,E07000008,E14000617,Cambridgeshire County,2009-01-03,Schools and seasonal public buildings,Natural Gas,,Not applicable,Not applicable,1173,240.0,156.0,73.0,40.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"St. Pauls C of E School, Coronation Street",Cambridge,Cambridge,CAMBRIDGE,2008-11-01,2008-08-31,2009-01-03 13:03:01,,200004215485.0,Address Matched
8124099052009010313243102000961,,St. Lukes C of E Primary School,Frenchs Road,CB4 3JZ,919492860000,78.0,,,D,30.0,32.0,,Schools and seasonal public buildings,2009-01-01,E07000008,E14000617,Cambridgeshire County,2009-01-03,Schools and seasonal public buildings,Natural Gas,,Not applicable,Not applicable,1523,109.0,157.0,36.0,40.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"St. Lukes C of E Primary School, Frenchs Road",Cambridge,Cambridge,CAMBRIDGE,2009-01-01,2008-11-29,2009-01-03 13:24:31,,10002565448.0,Address Matched
7507410962009010312354101790060,,St. Philips C of E Primary School,2 Vinery Way,CB1 3DR,602013110000,126.0,,,F,60.0,72.0,,Schools and seasonal public buildings,2008-11-30,E07000008,E14000617,Cambridgeshire County,2009-01-03,Schools and seasonal public buildings,Natural Gas,,Not applicable,Not applicable,1996,185.0,156.0,55.0,40.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"St. Philips C of E Primary School, 2 Vinery Way",Cambridge,Cambridge,CAMBRIDGE,2008-11-01,2008-08-31,2009-01-03 12:35:41,,200004184633.0,Address Matched
8832070062009012015100748990640,,Morley Memorial Primary School,91 Blinco Grove,CB1 7TX,440673840000,102.0,,,E,49.0,67.0,0.0,Schools And Seasonal Public Buildings,2009-01-16,E07000008,E14000934,Cambridgeshire County,2009-01-20,Schools And Seasonal Public Buildings,Natural Gas,,Not applicable,Not applicable,1712,204.0,184.0,53.0,56.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"Morley Memorial Primary School, 91 Blinco Grove",Cambridge,South Cambridgeshire,CAMBRIDGE,2009-01-01,2008-11-21,2009-01-20 15:10:07,,200004172832.0,Address Matched
9173698252009012115371809000353,,Mayfield Primary School,Warwick Road,CB4 3HN,333489450000,91.0,,,D,65.0,95.0,0.0,Schools And Seasonal Public Buildings,2009-01-21,E07000008,E14000617,Cambridgeshire County,2009-01-21,Schools And Seasonal Public Buildings,Natural Gas,,Not applicable,Not applicable,2789,177.0,161.0,43.0,57.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"Mayfield Primary School, Warwick Road",Cambridge,Cambridge,CAMBRIDGE,2009-01-01,2009-01-20,2009-01-21 15:37:18,,10002565450.0,Address Matched
12249261912009022411264203000533,,Queen Edith Cp School,Godwin Way,CB1 8QP,538913630000,115.0,,,E,49.0,98.0,,Schools and seasonal public buildings,2009-02-16,E07000008,E14000934,Cambridgeshire County,2009-02-24,Schools and seasonal public buildings,Natural Gas,,Not applicable,Not applicable,2813,180.0,121.0,32.0,40.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"Queen Edith Cp School, Godwin Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2009-02-01,2009-01-01,2009-02-24 11:26:42,,10002565457.0,Address Matched
11952170022009022713234757070970,,The Student Support Centre,Ascham Road,CB4 2BD,753373750000,120.0,,,E,30.0,64.0,,Schools and seasonal public buildings,2009-03-01,E07000008,E14000617,Cambridgeshire County,2009-02-27,Schools and seasonal public buildings,Natural Gas,,Not applicable,Not applicable,1483,221.0,159.0,37.0,40.0,0.0,0.0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"The Student Support Centre, Ascham Road",Cambridge,Cambridge,CAMBRIDGE,2009-03-01,2008-12-31,2009-02-27 13:23:47,,,
